Name,Variant,Caller,CallerVariant,Count,Depth:Average,Depth:SecondMoment,Depth:Variance,Depth:Sum,Depth:Min,Depth:Max,StartTimeDifference:Average,StartTimeDifference:SecondMoment,StartTimeDifference:Variance,StartTimeDifference:Sum,StartTimeDifference:Min,StartTimeDifference:Max,Width:Average,Width:SecondMoment,Width:Variance,Width:Sum,Width:Min,Width:Max
Microsoft.Quantum.Arithmetic.ApplyReversedOpBECA,Body,Microsoft.Quantum.Canon.ApplyQuantumFourierTransform,Body,162,28,784,0,4536,28,28,21.129629629629623,451.1666666666667,4.734644582470667,3423,0,27,0.006172839506172847,0.006172839506172839,0.006172839506172837,1,0,1
Microsoft.Quantum.Canon.ApplyQuantumFourierTransform,Body,Microsoft.Quantum.Canon.QFTLE,Body,162,28,784,0,4536,28,28,21.129629629629623,451.1666666666667,4.734644582470667,3423,0,27,0.006172839506172847,0.006172839506172839,0.006172839506172837,1,0,1
Microsoft.Quantum.Canon.QFTLE,Body,Microsoft.Quantum.Arithmetic.ApplyPhaseLEOperationOnLECA,Controlled,9,28,784,0,252,28,28,18.666666666666668,392,49,168,0,21,0.11111111111111113,0.1111111111111111,0.11111111111111113,1,0,1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,3348,1,1,0,3348,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,3348,1,1,0,3348,1,1,44.607526881720496,340098.78195937874,338209.9690141395,149346,0,18481,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,1116,1,1,0,1116,1,1,1,1,0,1116,1,1,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,1116,4.870967741935482,23.838709677419356,0.11248372631274418,5436,4,5,123.76702508960575,1019819.2849462365,1005401.906212128,138124,0,18481,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip,Adjoint,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Body,1080,4.866666666666664,23.8,0.11566265060240956,5256,4,5,127.23518518518533,1053798.4796296295,1038571.3273984827,137414,0,18481,0,0,0,0,0,0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder,Body,Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU,Body,540,4.866666666666665,23.8,0.11576994434137305,2628,4,5,217.0592592592591,2088109.7925925925,2044781.7033463896,117212,0,18481,0,0,0,0,0,0
